lat,lon,num_of_peoples,p_low,p_med,p_high
59.938937,30.308044,94,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.938369,30.306714,86,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.937873,30.305843,67,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.931247,30.290724,70,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.93112,30.290284,30,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931048,30.289925,46,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.93053,30.288443,16,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.934335,30.295,32,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.932608,30.288703,11,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931323,30.283448,51,0.33053221288515405,0.40896358543417366,0.2605042016806723
59.930394,30.310909,86,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.934168,30.312958,91,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.933992,30.312428,86,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.933658,30.311394,54,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.933433,30.310873,54,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.93337,30.312086,38,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.933307,30.310433,8,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.933149,30.312014,158,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.931783,30.306256,62,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.931887,30.304927,27,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.93176,30.304433,56,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.931544,30.305196,24,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.931427,30.304612,30,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.931526,30.303373,59,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931283,30.30233,13,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931228,30.303633,54,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.931161,30.3018,3,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930769,30.299959,5,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.930467,30.298602,40,0.22839506172839505,0.35185185185185186,0.41975308641975306
59.926237,30.305349,81,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.926129,30.30587,43,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925908,30.305322,48,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.92594,30.305861,11,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.9258,30.304442,83,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925655,30.30587,110,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925538,30.305277,70,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925371,30.305861,72,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925164,30.305834,56,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925155,30.305286,51,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.924988,30.305888,40,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.924722,30.305744,32,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.924699,30.305214,129,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.923847,30.305196,32,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.923279,30.305789,115,0.11436950146627566,0.5483870967741935,0.33724340175953077
59.923631,30.305241,62,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.922733,30.305771,91,0.11436950146627566,0.5483870967741935,0.33724340175953077
59.923315,30.305187,40,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.922783,30.305187,67,0.11436950146627566,0.5483870967741935,0.33724340175953077
59.935543,30.308924,110,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.930782,30.30808,107,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.935227,30.308897,48,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.930128,30.30808,40,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.929353,30.308628,118,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.929082,30.308565,54,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.926115,30.307855,24,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925606,30.307837,86,0.16216216216216217,0.3081081081081081,0.5297297297297298
59.925187,30.307837,140,0.16216216216216217,0.3081081081081081,0.5297297297297298
